Name,Region,Genre
50 Cent,NE,
Asap Rocky,NE,
Aesop Rock,WC,
Beyonce Knowles,WC,
Big Sean,MW,
Big L,NE,
Chance The Rapper,MW,
D12,MW,
Danny Brown,MW,
Denzel Curry,S,
DMX,NE,
Dr. Dre,WC,
Drake,MW,
Earl Sweatshirt,MW,
Eminem,MW,
J. Cole,S,
Jeremih,MW,
Kanye West,MW,
Kendrick Lamar,WC,
L'A Capone,MW,
Lil' Kim,NE,
Lil Uzi Vert,NE,
Lil Yachty,S,
Ludacris,NE,
MF Doom,NE,
Missy Elliot,NE,
Nas,NE,
Nicki Minaj,NE,
Notorious B.I.G.,NE,
N.W.A.,WC,
Offset,S,
Playboi Carti,NE,
Salt 'n' Pepa,NE,
Schoolboy Q,WC,
Slaughterhouse,NE,
Snoop Dogg,WC,
A Tribe Called Quest,NE,
2Pac,WC,
Vince Staples,WC,
Wu-Tang Clan,NE,
Yelawolf,S,
